Ref,Val,Package,PosX,PosY,Rot,Side
C1,C1,CP_EIA-1608-08_AVX-J,183.7875,-89.5,180,bottom
C2,C2,CP_EIA-1608-08_AVX-J,195.2125,-87,0,bottom
C3,10uF,CP_EIA-1608-08_AVX-J,158,-80.7875,90,bottom
C4,10uF,CP_EIA-1608-08_AVX-J,158,-84.7875,90,bottom
Q1,MMBT2222_,MMBT2222,202.4,-94.05,-90,bottom
R1,200,R_0201_0603Metric,184.5,-87.845,-90,bottom
R2,300,R_0201_0603Metric,184.845,-86.345,-90,bottom
R3,300,R_0201_0603Metric,194.345,-88.5,0,bottom
R4,300,R_0201_0603Metric,138.155,-124,180,bottom
R5,300,R_0201_0603Metric,142.155,-114,180,bottom
R6,300,R_0201_0603Metric,135.655,-114,180,bottom
R7,300,R_0201_0603Metric,130.155,-114,180,bottom
R8,300,R_0201_0603Metric,149.345,-124,180,bottom
R9,300,R_0201_0603Metric,160.655,-124,180,bottom
R10,300,R_0201_0603Metric,171.655,-124,180,bottom
R11,300,R_0201_0603Metric,206,-93,180,bottom
R12,1000,R_0201_0603Metric,161,-80.655,90,bottom
R13,750,R_0201_0603Metric,88.155,-103,180,bottom
R14,750,R_0201_0603Metric,90.155,-91.5,180,bottom
R15,1000,R_0201_0603Metric,91.655,-118,180,bottom
R16,1000,R_0201_0603Metric,161,-84.155,90,bottom
U1,TLC5917,TLC5917ID,97.275,-94.655,180,bottom
U2,TLC5917,TLC5917ID,97.275,-106.425,180,bottom
U3,TLC5917,TLC5917ID,97.275,-118.425,180,bottom
U9,TLC555xPS,TLC555,189.0362,-87.595,180,bottom
