Designator,Mid X,Mid Y,Layer,Rotation
C1,183.7875,-89.5,bottom,180
C2,195.2125,-87,bottom,0
C3,158,-80.7875,bottom,90
C4,158,-84.7875,bottom,90
Q1,202.4,-94.05,bottom,-90
R1,184.5,-87.845,bottom,-90
R2,184.845,-86.345,bottom,-90
R3,194.345,-88.5,bottom,0
R11,206,-93,bottom,180
R12,161,-80.655,bottom,90
R13,88.155,-103,bottom,180
R14,90.155,-91.5,bottom,180
R15,91.655,-118,bottom,180
R16,161,-84.155,bottom,90
U1,97.275,-94.655,bottom,180
U2,97.275,-106.425,bottom,180
U3,97.275,-118.425,bottom,180
U9,189.0362,-87.595,bottom,180
R4,138.155,-124,top,180
R5,142.155,-114,top,180
R6,135.655,-114,top,180
R7,129.655,-114,top,180
R8,149.155,-124,top,180
R9,160.655,-124,top,180
R10,171.655,-124,top,180
